Price;Generation;Body;Engine;Transmission;Drive;Steering Wheel;Color;Customs
₸4 700 000,00;2015 - н.в. M400;Хэтчбек;1.2 (бензин);Автомат;Передний привод;Слева;серый;Да
₸650 000,00;1998 - 2003 A33;Седан;2.5 (бензин);Автомат;Передний привод;Справа;черный;Да
₸34 200 000,00;2020 - н.в. G30 рестайлинг;Седан;3 (бензин);Автомат;Задний привод;Слева;белый;Да
₸14 500 000,00;2021 - 2024 1 поколение;Кроссовер;2 (бензин);Робот;Полный привод;Слева;черный металлик;Да
₸8 200 000,00;2020 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Вариатор;Передний привод;Слева;белый;Да
₸25 800 000,00;2012 - 2015 3 поколение рестайлинг (J2);Внедорожник;5.7 (газ-бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸3 500 000,00;2007 - 2011 T31;Кроссовер;2.5 (бензин);Вариатор;Полный привод;Слева;фиолетовый металлик;Да
₸950 000,00;1992 - 1998 1 поколение;Седан;1.8 (бензин);Механика;Передний привод;Слева;голубой;Да
₸900 000,00;2001 - 2014 1 поколение;Хэтчбек;1.5 (бензин);Механика;Передний привод;Слева;;Да
₸17 000 000,00;2021 - н.в. 4 поколение;Кроссовер;2.5 (бензин);Вариатор;Передний привод;Слева;красный;Да
₸4 500 000,00;2006 - 2011 W204/S204;Универсал;1.8 (бензин);Механика;Задний привод;Слева;серебристый металлик;Да
₸2 800 000,00;2013 - 2018 1 поколение рестайлинг;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸2 500 000,00;2000 - 2016 M150 рестайлинг (M100/M150);Хэтчбек;0.8 (бензин);Автомат;Передний привод;Слева;;Да
₸1 800 000,00;1991 - 1996 B4;Седан;2 (бензин);Механика;Передний привод;Слева;серебристый металлик;Да
₸1 500 000,00;1993 - 1997 W124 [2-й рестайлинг];Седан;2 (бензин);Автомат;Задний привод;Слева;;Да
₸12 000 000,00;2001 - 2006 R230;Родстер;5.4 (бензин);Автомат;Задний привод;Слева;синий металлик;Да
₸4 871 428,00;2001 - 2004 1 поколение (E12);Минивэн;1.8 (бензин);Автомат;Передний привод;Слева;синий металлик;Да
₸10 500 000,00;2009 - 2012 4 поколение рестайлинг (F4);Седан;4.6 (бензин);Автомат;Полный привод;Слева;;Да
₸6 300 000,00;2010 - 2012 1 поколение (GAxW);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;белый;Да
₸8 490 000,00;2019 - 2021 1 поколение рестайлинг (GS/GC);Кроссовер;1.6 (бензин);Механика;Полный привод;Слева;черный металлик;Да
₸13 800 000,00;2017 - 2020 3 поколение рестайлинг (L3);Минивэн;3.5 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸14 000 000,00;2015 - 2019 4 поколение рестайлинг (A4);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;;Да
₸18 500 000,00;2023 - н.в. 8 поколение рестайлинг;Седан;2 (бензин);Автомат;Передний привод;Слева;серебристый;Да
₸14 500 000,00;2021 - н.в. 1 поколение рестайлинг;Кроссовер;2 (бензин);Робот;Полный привод;Слева;серый;Да
₸3 600 000,00;1999 - 2003 2 поколение (RA6/RA7/RA8/RA9/RL1);Минивэн;2.3 (бензин);Автомат;Передний привод;Справа;черный металлик;Да
₸4 350 000,00;2008 - 2013 E11 рестайлинг (E11/NE11);Хэтчбек;1.6 (бензин);Автомат;Передний привод;Слева;;Да
₸5 000 000,00;1996 - 2003 W638;Минивэн;2.8 (бензин);Механика;Передний привод;Слева;черный;Да
₸500 000,00;1982 - 2012 1 поколение;Седан;1.6 (бензин);Механика;Задний привод;Слева;белый;Да
₸400 000,00;1970 - 1988 1 поколение;Седан;1.2 (бензин);Механика;Задний привод;Слева;;Да
₸17 000 000,00;2007 - 2012 3 поколение (J2);Внедорожник;5.7 (бензин);Автомат;Полный привод;Слева;;Да
₸1 800 000,00;1986 - 1994 E32;Седан;3.4 (бензин);Механика;Задний привод;Слева;серебристый металлик;Да
₸3 500 000,00;1999 - 2002 J90 рестайлинг;Внедорожник;3 (дизель);Автомат;Полный привод;Справа;серебристый металлик;Да
₸7 500 000,00;1998 - 2002 J100;Внедорожник;4.7 (бензин);Автомат;Полный привод;Слева;бордовый металлик;Да
₸8 800 000,00;2020 - н.в. 3 поколение;Кроссовер;1.5 (бензин);Робот;Передний привод;Слева;красный металлик;Да
₸3 500 000,00;1998 - 2002 W220;Седан;3.2 (бензин);Автомат;Задний привод;Слева;голубой металлик;Да
₸12 900 000,00;2013 - н.в. 1 поколение;Пикап;2.7 (газ-бензин);Механика;Задний привод;Слева;белый;Да
₸25 000 000,00;2006 - 2018 W906;Микроавтобус;4.3 (газ-бензин);Автомат;Полный привод;Слева;;Да
₸12 800 000,00;2002 - 2009 1 поколение;Внедорожник;4.7 (бензин);Автомат;Полный привод;Слева;белый;Да
₸5 500 000,00;2013 - 2017 3 поколение;Кроссовер;1.8 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸6 700 000,00;2010 - 2013 XE20 рестайлинг;Седан;2.5 (бензин);Автомат;Задний привод;Слева;;Да
₸5 800 000,00;2011 - 2015 3 поколение (UB);Седан;1.6 (бензин);Автомат;Передний привод;Слева;красный металлик;Да
₸1 400 000,00;1988 - 1993 B3;Седан;2 (бензин);Автомат;Передний привод;Слева;красный;Да
₸22 000 000,00;2012 - 2015 J200 рестайлинг;Внедорожник;4.6 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸46 500 000,00;2018 - н.в. G07;Кроссовер;3 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸22 000 000,00;2018 - н.в. 2 поколение (F3);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;черный;Да
₸13 000 000,00;2020 - н.в. XV70 рестайлинг (V75);Седан;2.5 (бензин);Автомат;Передний привод;Слева;черный;Да
₸13 500 000,00;2014 - 2018 XV50 рестайлинг (V55);Седан;2.5 (бензин);Автомат;Передний привод;Слева;белый;Да
₸5 100 000,00;2015 - н.в. 1 поколение;Универсал;1.8 (бензин);Механика;Передний привод;Слева;белый;Да
₸2 990 000,00;2006 - 2009 BK рестайлинг;Седан;2 (бензин);Автомат;Передний привод;Слева;золотистый;Да
₸5 300 000,00;2014 - 2017 4 поколение рестайлинг (RB/RC);Седан;1.6 (бензин);Механика;Передний привод;Слева;оранжевый;Да
₸5 000 000,00;1999 - 2006 3 поколение;Внедорожник;3.5 (бензин);Автомат;Полный привод;Слева;синий металлик;Да
₸4 400 000,00;2015 - н.в. M400;Хэтчбек;1 (бензин);Автомат;Передний привод;Слева;синий металлик;Да
₸4 000 000,00;2001 - 2004 2 поколение (RD);Кроссовер;2.4 (бензин);Автомат;Полный привод;Слева;синий;Да
₸2 500 000,00;1993 - 1997 B4;Универсал;2 (бензин);Механика;Передний привод;Слева;;Да
₸7 500 000,00;2009 - 2011 XV40 рестайлинг (V45);Седан;2.5 (бензин);Автомат;Передний привод;Слева;черный;Да
₸2 300 000,00;1990 - 1994 4 поколение (C4);Седан;2.8 (бензин);Механика;Полный привод;Слева;бордовый;Да
₸3 000 000,00;2001 - 2008 P12 (P12/W12);Лифтбек;1.6 (бензин);Механика;Передний привод;Слева;синий металлик;Да
₸950 000,00;1991 - 2002 3 поколение;Хэтчбек;2 (бензин);Механика;Передний привод;Слева;зеленый металлик;Да
₸20 000 000,00;2012 - 2015 J200 рестайлинг;Внедорожник;4.6 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸14 500 000,00;2014 - 2020 3 поколение (YP);Минивэн;3.3 (бензин);Автомат;Передний привод;Слева;белый;Да
₸850 000,00;1992 - 1997 7 поколение (E5xA/E7xA/E8xA);Седан;2 (бензин);Механика;Передний привод;Слева;зеленый;Да
₸10 000 000,00;2011 - 2014 XV50;Седан;2.5 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸1 600 000,00;1993 - 1997 W124 [2-й рестайлинг];Седан;2 (бензин);Механика;Задний привод;Слева;серебристый металлик;Да
₸13 600 000,00;2023 - н.в. 4 поколение рестайлинг (NX4);Кроссовер;2.5 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸17 400 000,00;2020 - н.в. 4 поколение рестайлинг;Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸13 000 000,00;2014 - 2018 XV50 рестайлинг (V55);Седан;2.5 (бензин);Автомат;Передний привод;Слева;черный;Да
₸3 950 000,00;2000 - 2008 E120 (E12/ZER/ZZE12/R1);Хэтчбек;1.6 (бензин);Автомат;Передний привод;Слева;голубой металлик;Да
₸2 700 000,00;1991 - 2003 T4;Минивэн;1.9 (дизель);Механика;Передний привод;Слева;вишня металлик;Да
₸2 500 000,00;1997 - 2001 W202/S202 рестайлинг;Седан;2.2 (бензин);Автомат;Задний привод;Слева;;Да
₸8 100 000,00;2006 - 2009 1 поколение рестайлинг (S50);Кроссовер;3.5 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸5 400 000,00;2010 - 2013 2 поколение (QJ);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸9 700 000,00;1994 - н.в. 1 поколение;Пикап;2.7 (газ-бензин);Механика;Задний привод;Слева;белый металлик;Да
₸17 000 000,00;2021 - н.в. 5 поколение;Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;серый металлик;Да
₸8 090 000,00;2023 - н.в. 2 поколение;Седан;1.5 (бензин);Автомат;Передний привод;Слева;бирюзовый;Да
₸16 800 000,00;2016 - 2020 W213/S213/C238/A238;Седан;2 (бензин);Автомат;Задний привод;Слева;белый;Да
₸6 600 000,00;2002 - 2007 E60/E61;Седан;3 (бензин);Автомат;Задний привод;Слева;серый металлик;Да
₸1 490 000,00;2012 - н.в. 1 поколение;Минивэн;0.9 (бензин);Механика;Передний привод;Слева;белый;Да
₸4 550 000,00;2020 - н.в. 2 поколение рестайлинг;Седан;1.5 (бензин);Механика;Передний привод;Слева;серый металлик;Да
₸8 500 000,00;2017 - 2021 XV70;Седан;2.5 (бензин);Автомат;Передний привод;Слева;синий металлик;Нет
₸43 800 000,00;2023 - н.в. 1 поколение;Внедорожник;2.4 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸4 800 000,00;2000 - 2006 B6;Седан;1.8 (бензин);Автомат;Полный привод;Слева;синий металлик;Да
₸11 800 000,00;2021 - н.в. 5 поколение;Кроссовер;2 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸13 000 000,00;2017 - н.в. 2 поколение (F800);Кроссовер;1.5 (бензин);Автомат;Задний привод;Слева;белый;Да
₸17 000 000,00;2010 - 2014 958 (92A);Кроссовер;4.8 (бензин);Автомат;Полный привод;Слева;красный;Да
₸1 000 000,00;1995 - 2005 2 поколение;Седан;2.5 (бензин);Автомат;Передний привод;Справа;черный металлик;Да
₸1 100 000,00;1982 - 1991 1 поколение (L04xG/L14xG);Внедорожник;2.5 (бензин);Механика;Полный привод;Слева;синий;Да
₸8 300 000,00;2015 - 2018 3 поколение [2-й рестайлинг] (GGxW/GFxW/ZJ/ZL/ZK);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;серебристый металлик;Да
₸3 000 757,00;1997 - 2001 C5;Седан;2.4 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸3 350 000,00;1999 - 2003 A (T98);Минивэн;1.8 (бензин);Механика;Передний привод;Слева;голубой металлик;Да
₸13 500 000,00;2011 - 2015 W166;Внедорожник;3.5 (бензин);Автомат;Полный привод;Слева;серый;Да
₸6 350 000,00;2002 - 2006 W211/S211;Седан;3.2 (бензин);Автомат;Задний привод;Слева;серебристый металлик;Да
₸4 400 000,00;1994 - н.в. 1 поколение;Пикап;2.9 (бензин);Механика;Задний привод;Слева;белый металлик;Да
₸7 800 000,00;2006 - 2010 E70;Кроссовер;3 (бензин);Автомат;Полный привод;Слева;серебристый;Да
₸1 800 000,00;2007 - 2015 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;черный;Да
₸26 000 000,00;2012 - 2015 3 поколение рестайлинг (J2);Внедорожник;5.7 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸4 000 000,00;2018 - н.в. 1 поколение рестайлинг;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸2 000 000,00;1990 - 1994 4 поколение (C4);Седан;2.6 (бензин);Механика;Передний привод;Слева;бордовый;Да
₸600 000,00;1991 - 2002 3 поколение;Хэтчбек;1.9 (дизель);Механика;Передний привод;Слева;красный;Да
₸8 700 000,00;2003 - 2006 E53 рестайлинг;Кроссовер;4.8 (бензин);Автомат;Полный привод;Слева;черный;Да
₸16 999 999,00;2009 - 2013 J150;Внедорожник;4 (бензин);Автомат;Полный привод;Слева;;Да
₸26 990 000,00;2017 - н.в. Z62 [2-й рестайлинг];Внедорожник;5.6 (бензин);Автомат;Полный привод;Слева;;Да
₸43 000 000,00;2017 - 2022 2 поколение рестайлинг (K6);Внедорожник;5.7 (бензин);Автомат;Полный привод;Слева;черный;Да
₸2 300 000,00;2005 - 2012 1 поколение рестайлинг (JU);Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;синий металлик;Да
₸9 500 000,00;2014 - 2018 XV50 рестайлинг (V55);Седан;2 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸7 800 000,00;2020 - н.в. 5 поколение рестайлинг (YC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸3 950 000,00;2011 - 2015 T300;Седан;1.6 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸4 700 000,00;2018 - н.в. 1 поколение рестайлинг;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый металлик;Да
₸11 000 000,00;2011 - 2015 4 поколение рестайлинг (V8xW/V9xW);Внедорожник;3 (бензин);Автомат;Полный привод;Слева;белый;Да
₸850 000,00;1991 - 2002 3 поколение;Хэтчбек;1.8 (бензин);Автомат;Передний привод;Слева;вишня;Да
₸7 590 000,00;2014 - 2016 3 поколение рестайлинг (QL/QLE);Кроссовер;2 (бензин);Автомат;Передний привод;Слева;;Да
₸6 500 000,00;1996 - 1999 W140 [2-й рестайлинг];Седан;3.2 (бензин);Автомат;Задний привод;Слева;синий металлик;Да
₸17 700 000,00;2023 - н.в. XV80;Седан;2 (гибрид);Вариатор;Передний привод;Слева;белый металлик;Да
₸2 900 000,00;2009 - н.в. 1 поколение [2-й рестайлинг];Внедорожник;1.7 (бензин);Механика;Полный привод;Слева;;Да
₸5 750 000,00;1997 - 2003 1 поколение (MCU15);Кроссовер;3 (бензин);Автомат;Полный привод;Слева;зеленый металлик;Да
₸6 500 000,00;2010 - 2013 1 поколение рестайлинг (J10, NJ10, JJ10E) (J10/NJ10/JJ10E);Кроссовер;1.6 (бензин);Вариатор;Передний привод;Слева;серый;Да
₸21 000 000,00;2016 - 2019 3 поколение рестайлинг (U5);Кроссовер;3.5 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
